testsmell,AR,CTL,DA,EH,ET,IT,MN,PSF,RO,SE,SF,TWD,UT,VT
AR,1.0,0.8058043711931208,0.8283343483556638,0.8404907975460123,0.13625866050808313,0.7867647058823529,0.767696730147323,0.5688073394495413,0.5411020776874436,0.8178763440860215,0.8636363636363636,0.6346153846153846,0.3815261044176707,0.815796378903175
CTL,0.1772121976203609,1.0,0.18810901339829475,0.43470639789658194,0.057736720554272515,0.41911764705882354,0.2076895436579231,0.39755351681957185,0.2086720867208672,0.25806451612903225,0.4407114624505929,0.11538461538461539,0.1839859437751004,0.29860928890055105
DA,0.8573792451343472,0.8853457542099605,1.0,0.8746713409290097,0.13856812933025403,0.9044117647058824,0.7841358246496587,0.8195718654434251,0.7028003613369467,0.8293010752688172,0.9169960474308301,0.6346153846153846,0.5820783132530121,0.8960902650223038
EH,0.075565361279647,0.1777140809745611,0.07597442143727162,1.0,0.03233256351039261,0.1323529411764706,0.08237513474667625,0.18654434250764526,0.08491418247515808,0.18884408602150538,0.30237154150197626,0.019230769230769232,0.09387550200803213,0.1409078981894516
ET,0.004648963832637302,0.00895736295234683,0.004567600487210719,0.012269938650306749,1.0,0.07352941176470588,0.004761049227452389,0.009174311926605505,0.008130081300813009,0.006048387096774193,0.005928853754940711,0.34615384615384615,0.1086847389558233,0.008921542902125426
IT,0.00843117169647782,0.02042278753135077,0.009363580998781974,0.015775635407537247,0.023094688221709007,1.0,0.009791591807402083,0.0290519877675841,0.018970189701897018,0.005376344086021506,0.019762845849802372,0.0,0.01631526104417671,0.013644712673838887
MN,0.6733905917579387,0.8283769258330348,0.6645097442143727,0.803680981595092,0.12240184757505773,0.8014705882352942,1.0,0.7629969418960245,0.5627822944896116,0.7338709677419355,0.8320158102766798,0.6153846153846154,0.5070281124497992,0.7766990291262136
PSF,0.029312110944764005,0.09315657470440702,0.04080389768574909,0.10692375109553023,0.013856812933025405,0.13970588235294118,0.04482572763205174,1.0,0.06684733514001806,0.05510752688172043,0.1007905138339921,0.038461538461538464,0.055220883534136546,0.053004460771451066
RO,0.04719880230084312,0.0827660336796847,0.059226552984165654,0.08238387379491674,0.020785219399538105,0.15441176470588236,0.05596478620194035,0.11314984709480122,1.0,0.04838709677419355,0.06719367588932806,0.057692307692307696,0.09011044176706827,0.0900026239832065
SE,0.09589472854778977,0.1375850949480473,0.09394031668696712,0.2462751971954426,0.020785219399538105,0.058823529411764705,0.09809558030901905,0.12538226299694188,0.06504065040650407,1.0,0.12450592885375494,0.019230769230769232,0.06224899598393574,0.14694305956441878
SF,0.03443385076038137,0.07989967753493371,0.03532277710109622,0.13409290096406662,0.006928406466512702,0.07352941176470588,0.03781890046712181,0.0779816513761468,0.03071364046973803,0.04233870967741935,1.0,0.0,0.033383534136546184,0.05930202046706901
TWD,0.0026002679063903554,0.002149767108563239,0.0025121802679658953,0.0008764241893076249,0.04157043879907621,0.0,0.002874595759971254,0.0030581039755351682,0.0027100271002710027,0.0006720430107526882,0.0,1.0,0.007028112449799197,0.0028863815271582263
UT,0.11976991568828303,0.26262988176280905,0.17653775883069428,0.32778264680105174,1.0,0.47794117647058826,0.1814588573481854,0.3363914373088685,0.32429990966576333,0.16666666666666666,0.2628458498023715,0.5384615384615384,1.0,0.23773287850957753
VT,0.2449767551808368,0.4077391615908277,0.25997259439707676,0.4706397896581946,0.07852193995381063,0.38235294117647056,0.265900107797341,0.308868501529052,0.3098464317976513,0.3763440860215054,0.44664031620553357,0.21153846153846154,0.22740963855421686,1.0
